Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU30,27.839389524644275,1,8,2906.524395398703,Male,100,20,7,10,Carrier B,3.1050617881754325,Supplier 1,Delhi,29,976,9,99.46610860359912,Pending,3.8111609306633625,Rail,Route A,103.91624796070496
cosmetics,SKU68,1.6999760138659377,53,8,6356.128896991521,Unknown,0,12,86,10,Carrier B,4.8712717158090335,Supplier 2,Chennai,15,779,11,96.8578663296536,Pending,1.5028311319693128,Sea,Route C,745.1945766316501
haircare,SKU27,45.75316182211813,23,790,1061.618523013288,Unknown,86,11,62,8,Carrier C,1.0134865660958965,Supplier 1,Delhi,18,104,6,47.29682497115601,Pass,1.5570551506900325,Rail,Route A,834.331622877166
cosmetics,SKU31,80.07947199923119,73,8,9258.18753141955,Male,100,1,5,9,Carrier C,9.92981624527726,Supplier 1,Kolkata,30,104,1,47.90151576722218,Pending,2.8243203151885727,Road,Route C,501.65415045100985
haircare,SKU90,41.99676565896473,61,579,9866.465457979695,Female,52,18,42,1,Carrier A,1.0134865660958965,Supplier 1,Chennai,20,684,26,20.80781293119241,Pending,0.04374457760480288,Rail,Route A,217.12115044598136
cosmetics,SKU34,6.125571419522993,46,8,9866.465457979695,Non-binary,23,4,5,10,Carrier C,1.0134865660958965,Supplier 1,Delhi,30,476,9,99.46610860359912,Pass,4.939255288620948,Road,Route A,392.0026990267247
cosmetics,SKU37,1.6999760138659377,30,8,3869.045761496989,Female,10,1,4,1,Carrier B,9.561134193167192,Supplier 1,Delhi,30,347,14,99.46610860359912,Pending,4.939255288620948,Rail,Route C,365.9618034487587
cosmetics,SKU47,1.6999760138659377,4,8,5456.0137017836005,Male,73,18,96,5,Carrier B,4.403303028267568,Supplier 3,Kolkata,1,815,30,80.9897932645662,Pass,3.9132798177311714,Sea,Route C,712.3612146527458
skincare,SKU45,14.55510585319388,1,548,5177.672881450231,Non-binary,86,1,40,9,Carrier C,2.1761996573627567,Supplier 2,Chennai,30,104,5,39.788302823485424,Fail,2.5183046058420393,Rail,Route A,171.94138766328845
haircare,SKU81,1.6999760138659377,46,704,4249.280837877865,Male,47,16,5,10,Carrier C,1.8283612549663992,Supplier 1,Delhi,21,409,9,1.0850685695870688,Fail,4.440991674919695,Air,Route A,103.91624796070496
skincare,SKU8,63.46512933535635,17,8,1061.618523013288,Non-binary,100,27,1,6,Carrier B,6.564896550856827,Supplier 4,Bangalore,4,672,15,6.0410618245032275,Pass,4.939255288620948,Sea,Route A,103.91624796070496
skincare,SKU25,99.1713286386242,12,996,8704.328833260108,Female,0,1,37,5,Carrier B,4.26545931241022,Supplier 2,Chennai,16,209,21,1.0850685695870688,Fail,4.734043622168448,Air,Route C,494.661958287242
skincare,SKU82,77.87411723538213,40,91,1061.618523013288,Non-binary,18,11,66,8,Carrier A,9.738777235493092,Supplier 4,Chennai,29,589,2,14.86894194109773,Fail,3.1444812676478464,Rail,Route C,489.4602308513896
skincare,SKU2,1.6999760138659377,18,899,9866.465457979695,Non-binary,100,26,40,10,Carrier A,1.0134865660958965,Supplier 1,Delhi,25,104,15,66.0850368834957,Pending,4.939255288620948,Rail,Route C,617.2326905044524
haircare,SKU39,52.33902825691098,72,62,6055.718846692868,Female,0,1,1,10,Carrier C,1.0134865660958965,Supplier 4,Chennai,30,772,1,62.29933753365531,Fail,4.939255288620948,Sea,Route C,103.91624796070496
skincare,SKU58,6.26064440987496,49,561,1061.618523013288,Male,100,5,36,10,Carrier C,4.448037247827262,Supplier 3,Mumbai,25,525,8,99.46610860359912,Fail,4.078661140524966,Rail,Route C,503.6208533042793
haircare,SKU33,59.21259260713323,17,996,1061.618523013288,Female,100,1,67,9,Carrier B,7.440056230847804,Supplier 1,Kolkata,29,708,13,13.888227920413527,Pass,2.2390219042616772,Sea,Route A,224.24584828526093
skincare,SKU28,49.42419054224439,75,604,9866.465457979695,Female,48,21,25,7,Carrier A,1.0134865660958965,Supplier 1,Chennai,30,803,1,56.02449996408198,Fail,4.628802722932531,Road,Route C,357.4360470567907
skincare,SKU97,35.38045134638445,8,15,6802.553496531134,Unknown,73,1,27,10,Carrier C,7.930676856134044,Supplier 5,Chennai,30,131,3,70.77732598237289,Fail,4.939255288620948,Rail,Route A,391.63116117580796
haircare,SKU97,53.56272851593175,53,822,8999.283604386103,Female,54,13,17,1,Carrier C,6.434409921804815,Supplier 1,Chennai,28,104,22,1.0850685695870688,Fail,1.9500946448730714,Road,Route C,103.91624796070496
skincare,SKU99,2.269764367270124,84,249,4600.465706376741,Female,38,5,1,4,Carrier C,2.2222016744998117,Supplier 3,Delhi,30,104,24,98.39171029658243,Fail,4.939255288620948,Road,Route A,527.4917440882823
cosmetics,SKU85,78.97582532054567,8,776,1061.618523013288,Female,25,1,40,10,Carrier C,3.005989333470719,Supplier 1,Kolkata,30,104,18,24.46134260418957,Fail,0.0186075676310149,Rail,Route A,997.4134501331946
skincare,SKU50,20.462180925395888,20,635,9866.465457979695,Male,0,17,81,9,Carrier C,9.92981624527726,Supplier 1,Chennai,11,816,9,1.3698241837488752,Pending,0.13706305463355672,Rail,Route C,143.4763160473011
skincare,SKU37,98.0802262601519,100,8,1230.6132742635232,Female,64,26,62,6,Carrier C,7.761149760965776,Supplier 1,Kolkata,24,406,19,59.047753975486586,Pending,1.5544946012562102,Rail,Route A,164.98346152899725
cosmetics,SKU96,60.95486132409104,44,518,7335.38711841207,Unknown,100,3,14,10,Carrier C,6.938559235690163,Supplier 1,Kolkata,30,531,6,74.06276329140954,Pending,4.124767044888946,Road,Route A,103.91624796070496
skincare,SKU92,99.1713286386242,85,996,5807.434771498072,Male,62,1,96,10,Carrier C,4.009108846520643,Supplier 3,Kolkata,28,104,24,33.29974544336306,Fail,4.939255288620948,Rail,Route A,114.32481490878695
skincare,SKU61,36.9273616171964,10,773,8743.052849934811,Male,54,25,6,1,Carrier C,2.687638897105292,Supplier 1,Delhi,30,873,1,99.46610860359912,Pass,4.939255288620948,Rail,Route B,997.4134501331946
haircare,SKU93,66.12062297225819,1,8,7963.848543045146,Female,76,1,96,3,Carrier A,9.92981624527726,Supplier 4,Kolkata,30,689,16,44.44438316890857,Pending,1.7181697002945415,Rail,Route A,997.4134501331946
haircare,SKU93,99.1713286386242,35,343,9866.465457979695,Non-binary,60,1,41,1,Carrier B,8.81325950440857,Supplier 5,Delhi,26,531,18,1.0850685695870688,Pending,1.990824009501351,Road,Route A,103.91624796070496
haircare,SKU33,62.496639599452166,13,377,9005.062205522601,Unknown,62,16,78,10,Carrier C,2.8207367655474878,Supplier 3,Kolkata,25,251,1,73.48662711967971,Pending,4.939255288620948,Sea,Route A,997.4134501331946
skincare,SKU13,99.1713286386242,100,286,1167.7204598667463,Female,8,12,61,5,Carrier C,9.92981624527726,Supplier 1,Chennai,30,106,4,99.46610860359912,Pending,4.195842013305651,Air,Route C,272.4111742434278
cosmetics,SKU34,99.1713286386242,20,996,3049.4448431654255,Female,67,1,9,10,Carrier A,4.191632909519383,Supplier 2,Kolkata,1,915,11,99.46610860359912,Pending,4.939255288620948,Air,Route C,734.7630789180838
cosmetics,SKU19,74.27410261405666,27,319,1061.618523013288,Female,100,1,50,10,Carrier B,6.121970726324877,Supplier 4,Delhi,30,211,2,99.46610860359912,Pending,4.939255288620948,Rail,Route A,886.4729725908928
skincare,SKU21,11.691940350362406,25,152,7946.341668069301,Unknown,0,3,43,1,Carrier B,2.5783159577956365,Supplier 1,Chennai,8,781,16,63.54729154005682,Pending,4.939255288620948,Rail,Route A,422.53463245555156
skincare,SKU30,24.14213625549455,8,8,5946.478026284392,Non-binary,73,1,21,3,Carrier B,6.764679181782617,Supplier 1,Bangalore,17,821,30,1.0850685695870688,Pending,4.939255288620948,Rail,Route A,103.91624796070496
haircare,SKU64,94.72447148028911,1,336,8257.696730201824,Female,73,18,16,4,Carrier C,7.675592930798733,Supplier 2,Delhi,15,845,25,60.381624343897286,Pending,4.939255288620948,Rail,Route A,894.458066391957
skincare,SKU97,1.6999760138659377,100,591,2421.4049877808916,Female,61,1,52,10,Carrier C,2.0437471339795614,Supplier 3,Chennai,27,393,1,99.46610860359912,Pending,2.336600200542563,Rail,Route B,218.27173019607966
cosmetics,SKU18,1.6999760138659377,100,451,9866.465457979695,Non-binary,17,7,1,10,Carrier B,6.124437185209445,Supplier 5,Kolkata,27,985,1,99.46610860359912,Fail,1.5876710259835414,Sea,Route A,747.6825630474451
haircare,SKU78,60.92979546278754,43,313,4878.209875364339,Female,100,3,1,4,Carrier C,9.19305403768034,Supplier 1,Chennai,30,505,1,1.0850685695870688,Pending,1.499465278004981,Rail,Route A,133.2428236389555
haircare,SKU74,12.405165614442264,100,996,4631.015787706221,Non-binary,100,27,35,10,Carrier A,8.328740267197583,Supplier 5,Delhi,20,104,8,56.3620062150527,Pending,4.939255288620948,Sea,Route C,997.4134501331946
skincare,SKU81,70.2859370981649,13,48,4220.34033521025,Non-binary,100,5,7,6,Carrier C,1.0134865660958965,Supplier 3,Bangalore,27,104,17,57.64698259100214,Pending,4.939255288620948,Rail,Route A,426.81199477658583
haircare,SKU33,31.488384996727596,79,8,6467.6436539665,Female,74,1,16,10,Carrier B,6.109786581052369,Supplier 4,Chennai,30,568,1,1.0850685695870688,Fail,3.7133091372185265,Rail,Route A,940.3995896201913
skincare,SKU15,55.63953918634027,10,469,9866.465457979695,Male,100,21,18,4,Carrier C,9.229756687757565,Supplier 2,Kolkata,27,982,11,1.0850685695870688,Pending,1.8280726310248447,Rail,Route B,312.88304805185425
haircare,SKU64,64.8346353053829,33,8,1061.618523013288,Male,75,1,5,6,Carrier A,2.4046592948493135,Supplier 1,Mumbai,25,583,7,24.414978248334627,Pending,4.939255288620948,Rail,Route B,103.91624796070496
haircare,SKU25,54.84319782974414,54,768,2140.6278054380236,Female,100,4,60,3,Carrier B,7.260685544960657,Supplier 1,Mumbai,22,489,19,31.26788092280055,Fail,3.517944867915939,Rail,Route A,103.91624796070496
skincare,SKU19,1.6999760138659377,100,996,7033.116692147749,Male,34,26,96,6,Carrier B,7.755865056305133,Supplier 2,Bangalore,30,320,10,94.6583188148584,Pending,3.272883458444933,Rail,Route B,216.11324057357285
haircare,SKU24,41.429142194847884,67,686,1061.618523013288,Non-binary,66,30,1,1,Carrier C,6.264388828335846,Supplier 3,Bangalore,30,104,30,47.56366620195254,Pending,4.939255288620948,Rail,Route A,199.91376661160325
haircare,SKU91,56.272527815578684,55,512,9866.465457979695,Unknown,17,1,8,1,Carrier A,7.246954991920805,Supplier 4,Kolkata,30,543,3,71.561472147994,Pending,0.0186075676310149,Air,Route B,825.1303765708941
skincare,SKU35,58.125272725397814,73,136,5772.467692132201,Male,25,1,22,1,Carrier A,3.377319342591603,Supplier 1,Chennai,30,104,16,80.28579471416397,Pass,0.9612472548798945,Rail,Route A,171.33605529219938
skincare,SKU39,99.1713286386242,63,8,5359.766498559597,Non-binary,25,6,26,5,Carrier A,6.937393052806924,Supplier 4,Chennai,29,646,17,24.503842832050537,Fail,4.939255288620948,Road,Route A,730.2056838348269
haircare,SKU65,99.1713286386242,12,996,2998.775946133107,Unknown,65,1,45,9,Carrier A,1.0134865660958965,Supplier 4,Chennai,30,104,8,99.46610860359912,Fail,0.0186075676310149,Sea,Route A,103.91624796070496
haircare,SKU4,99.1713286386242,87,996,1759.454432523285,Male,43,1,69,3,Carrier B,2.0031631692146155,Supplier 4,Kolkata,30,104,30,2.93724967876026,Pending,3.033715616463069,Sea,Route C,620.661364578752
skincare,SKU17,73.89158670881349,8,555,5750.275009283558,Female,0,24,58,9,Carrier B,1.0134865660958965,Supplier 1,Mumbai,24,774,20,85.27760776918845,Fail,4.329574423141532,Rail,Route C,933.9805646302888
cosmetics,SKU31,79.90245824989215,89,996,4715.571886497521,Female,100,16,51,10,Carrier C,9.92981624527726,Supplier 2,Chennai,19,850,7,20.052386600098693,Fail,0.7699796763989184,Rail,Route A,740.0763703323701
skincare,SKU31,45.44628870429653,79,990,8589.118979688594,Unknown,100,30,9,10,Carrier C,5.20077051041776,Supplier 2,Chennai,30,104,6,44.61564706691079,Pending,1.597439558650026,Air,Route C,907.5416409299527
